response,set,sheet
"Jews, gypsies, and homosexuals.",CAH Base Set,CAH Main Deck
Jibber-jabber.,CAH Base Set,CAH Main Deck
Jimmy Savile.,CAH Base Set,CAH Main Deck
Jobs.,CAH Base Set,CAH Main Deck
Joe Biden.,CAH Base Set,CAH Main Deck
John Howard's eyebrows.,CAH Base Set,CAH Main Deck
John Wilkes Booth.,CAH Base Set,CAH Main Deck
Judge Judy.,CAH Base Set,CAH Main Deck
Judging everyone.,CAH Base Set,CAH Main Deck
Just touching David Beckham's hair.,CAH Base Set,CAH Main Deck
Justin Bieber.,CAH Base Set,CAH Main Deck
Justin Trudeau.,CAH Base Set,CAH Main Deck
Juuling.,CAH Base Set,CAH Main Deck
Kamikaze pilots.,CAH Base Set,CAH Main Deck
Kanye West.,CAH Base Set,CAH Main Deck
Keanu Reeves.,CAH Base Set,CAH Main Deck
Keeping Christ in Christmas.,CAH Base Set,CAH Main Deck
Keg stands.,CAH Base Set,CAH Main Deck
Kibbles 'n Bits™.,CAH Base Set,CAH Main Deck
Kibbles n' Bits.,CAH Base Set,CAH Main Deck
Kids with ass cancer.,CAH Base Set,CAH Main Deck
Kids with bum cancer.,CAH Base Set,CAH Main Deck
Kim Jong-il.,CAH Base Set,CAH Main Deck
Kim Jong-un.,CAH Base Set,CAH Main Deck
Kissing grandma on the forehead and turning off her life support.,CAH Base Set,CAH Main Deck
Kissing nan on the forehead and turning off her life support.,CAH Base Set,CAH Main Deck
Knife crime.,CAH Base Set,CAH Main Deck
"Kourtney, Kim, Khloe, Kendall, and Kylie.",CAH Base Set,CAH Main Deck
Lactation.,CAH Base Set,CAH Main Deck
Lads.,CAH Base Set,CAH Main Deck
Lady Gaga.,CAH Base Set,CAH Main Deck
Lance Armstrong's missing testicle.,CAH Base Set,CAH Main Deck
Land mines.,CAH Base Set,CAH Main Deck
Laying an egg.,CAH Base Set,CAH Main Deck
Leaked footage of Kate Middleton's colonoscopy.,CAH Base Set,CAH Main Deck
Leaving an awkward voicemail.,CAH Base Set,CAH Main Deck
Lena Dunham.,CAH Base Set,CAH Main Deck
Leprosy.,CAH Base Set,CAH Main Deck
Letting everyone down.,CAH Base Set,CAH Main Deck
Letting yourself go.,CAH Base Set,CAH Main Deck
Leveling up.,CAH Base Set,CAH Main Deck
Liberals.,CAH Base Set,CAH Main Deck
Licking things to claim them as your own.,CAH Base Set,CAH Main Deck
Listening to her problems without trying to solve them.,CAH Base Set,CAH Main Deck
Literally eating shit.,CAH Base Set,CAH Main Deck
Little boy penises.,CAH Base Set,CAH Main Deck
Living in a trash can.,CAH Base Set,CAH Main Deck
Living in Yellowknife.,CAH Base Set,CAH Main Deck
Lockjaw.,CAH Base Set,CAH Main Deck
"Loki, the trickster god.",CAH Base Set,CAH Main Deck
"Looking in the mirror, applying lipstick, and whispering ""tonight, you will have sex with Tom Cruise.""",CAH Base Set,CAH Main Deck
Loose lips.,CAH Base Set,CAH Main Deck
Lumberjack fantasies.,CAH Base Set,CAH Main Deck
Lunchables™.,CAH Base Set,CAH Main Deck
LYNX® Body Spray.,CAH Base Set,CAH Main Deck
Mad cow disease.,CAH Base Set,CAH Main Deck
Madeleine McCann.,CAH Base Set,CAH Main Deck
Magnets.,CAH Base Set,CAH Main Deck
Making a friend.,CAH Base Set,CAH Main Deck
Making a pouty face.,CAH Base Set,CAH Main Deck
Making sex at her.,CAH Base Set,CAH Main Deck
Making the penises kiss.,CAH Base Set,CAH Main Deck
Making up for centuries of oppression with one day of apologising.,CAH Base Set,CAH Main Deck
Man meat.,CAH Base Set,CAH Main Deck
Mansplaining.,CAH Base Set,CAH Main Deck
Many bats.,CAH Base Set,CAH Main Deck
Marky Mark and the Funky Bunch.,CAH Base Set,CAH Main Deck
Martha Stewart.,CAH Base Set,CAH Main Deck
"Massive, widespread drought.",CAH Base Set,CAH Main Deck
Masturbating.,CAH Base Set,CAH Main Deck
Masturbation.,CAH Base Set,CAH Main Deck
Mathletes.,CAH Base Set,CAH Main Deck
"Maureen of Blackpool, Reader's Wife of the Year 1988.",CAH Base Set,CAH Main Deck
Me time.,CAH Base Set,CAH Main Deck
Me.,CAH Base Set,CAH Main Deck
MechaHitler.,CAH Base Set,CAH Main Deck
Memes.,CAH Base Set,CAH Main Deck
Men discussing their feelings in an emotionally healthy way.,CAH Base Set,CAH Main Deck
Men.,CAH Base Set,CAH Main Deck
Menstrual rage.,CAH Base Set,CAH Main Deck
Menstruation.,CAH Base Set,CAH Main Deck
Meth.,CAH Base Set,CAH Main Deck
Michael Jackson.,CAH Base Set,CAH Main Deck
Michelle Obama's arms.,CAH Base Set,CAH Main Deck
Mike Pence.,CAH Base Set,CAH Main Deck
Mild autism.,CAH Base Set,CAH Main Deck
Miley Cyrus at 55.,CAH Base Set,CAH Main Deck
Miley Cyrus.,CAH Base Set,CAH Main Deck
Millions of cane toads.,CAH Base Set,CAH Main Deck
Millwall fans.,CAH Base Set,CAH Main Deck
Mining accidents.,CAH Base Set,CAH Main Deck
Mistaking a retarded person for someone who's merely deaf.,CAH Base Set,CAH Main Deck
Mom.,CAH Base Set,CAH Main Deck
Mooing.,CAH Base Set,CAH Main Deck
Moral ambiguity.,CAH Base Set,CAH Main Deck
More elephant cock than I bargained for.,CAH Base Set,CAH Main Deck
Morgan Freeman's voice.,CAH Base Set,CAH Main Deck
Mountain Dew Code Red.,CAH Base Set,CAH Main Deck
Mouth herpes.,CAH Base Set,CAH Main Deck
"Mr. Clean, right behind you.",CAH Base Set,CAH Main Deck
Mr. Dressup.,CAH Base Set,CAH Main Deck
Mr. Dressup.,CAH Base Set,CAH Main Deck
Mr. Snuffleupagus.,CAH Base Set,CAH Main Deck
"Mr. Squiggle, the Man from the Moon.",CAH Base Set,CAH Main Deck
Muhammad (Peace Be Upon Him).,CAH Base Set,CAH Main Deck
Muhammad (Praise Be Unto Him).,CAH Base Set,CAH Main Deck
Multiple orgasms.,CAH Base Set,CAH Main Deck
Multiple stab wounds.,CAH Base Set,CAH Main Deck
Murder.,CAH Base Set,CAH Main Deck
Mutually assured destruction.,CAH Base Set,CAH Main Deck
Mutually-assured destruction.,CAH Base Set,CAH Main Deck
Muzzy.,CAH Base Set,CAH Main Deck
My abusive boyfriend who really isn't so bad once you get to know him.,CAH Base Set,CAH Main Deck
My balls on your face.,CAH Base Set,CAH Main Deck
My black ass.,CAH Base Set,CAH Main Deck
My bright pink fuckhole.,CAH Base Set,CAH Main Deck
My cheating prick of a husband.,CAH Base Set,CAH Main Deck
My cheating son-of-a-bitch husband.,CAH Base Set,CAH Main Deck
My collection of high-tech sex toys.,CAH Base Set,CAH Main Deck
My collection of Japanese sex toys.,CAH Base Set,CAH Main Deck
My ex-wife.,CAH Base Set,CAH Main Deck
My fat daughter.,CAH Base Set,CAH Main Deck
"My father, who died when I was seven.",CAH Base Set,CAH Main Deck
My first kill.,CAH Base Set,CAH Main Deck
My genitals.,CAH Base Set,CAH Main Deck
My good bra.,CAH Base Set,CAH Main Deck
My humps.,CAH Base Set,CAH Main Deck
My inner demons.,CAH Base Set,CAH Main Deck
My little boner.,CAH Base Set,CAH Main Deck
My machete.,CAH Base Set,CAH Main Deck
My mate Dave.,CAH Base Set,CAH Main Deck
"My neck, my back, my pussy, and my crack.",CAH Base Set,CAH Main Deck
My relationship status.,CAH Base Set,CAH Main Deck
My sex life.,CAH Base Set,CAH Main Deck
My soul.,CAH Base Set,CAH Main Deck
"My Uber driver, Pavel.",CAH Base Set,CAH Main Deck
My ugly face and bad personality.,CAH Base Set,CAH Main Deck
My vagina.,CAH Base Set,CAH Main Deck
Nachos for the table.,CAH Base Set,CAH Main Deck
Naked News.,CAH Base Set,CAH Main Deck
Natalie Portman.,CAH Base Set,CAH Main Deck
Natural male enhancement.,CAH Base Set,CAH Main Deck
Natural selection.,CAH Base Set,CAH Main Deck
Nazis.,CAH Base Set,CAH Main Deck
NBA superstar LeBron James.,CAH Base Set,CAH Main Deck
Necrophilia.,CAH Base Set,CAH Main Deck
New Age music.,CAH Base Set,CAH Main Deck
Newfies.,CAH Base Set,CAH Main Deck
Newfies.,CAH Base Set,CAH Main Deck
Nickelback.,CAH Base Set,CAH Main Deck
Nicolas Cage.,CAH Base Set,CAH Main Deck
Nip slips.,CAH Base Set,CAH Main Deck
Nippers.,CAH Base Set,CAH Main Deck
Nipple blades.,CAH Base Set,CAH Main Deck
Nocturnal emissions.,CAH Base Set,CAH Main Deck
Not contributing to society in any meaningful way.,CAH Base Set,CAH Main Deck
Not giving a shit about the Third World.,CAH Base Set,CAH Main Deck
Not having sex.,CAH Base Set,CAH Main Deck
Not reciprocating oral sex.,CAH Base Set,CAH Main Deck
Not vaccinating my children because I am stupid.,CAH Base Set,CAH Main Deck
Not wearing pants.,CAH Base Set,CAH Main Deck
Not wearing trousers.,CAH Base Set,CAH Main Deck
Nothing but sand.,CAH Base Set,CAH Main Deck
Nothing.,CAH Base Set,CAH Main Deck
Nunchuck moves.,CAH Base Set,CAH Main Deck
Obesity.,CAH Base Set,CAH Main Deck
Object permanence.,CAH Base Set,CAH Main Deck
Oestrogen.,CAH Base Set,CAH Main Deck
Old-people smell.,CAH Base Set,CAH Main Deck
Ominous background music.,CAH Base Set,CAH Main Deck
"One Direction's supple, hairless bodies.",CAH Base Set,CAH Main Deck
One Ring to rule them all.,CAH Base Set,CAH Main Deck
One titty hanging out.,CAH Base Set,CAH Main Deck
One trillion dollars.,CAH Base Set,CAH Main Deck
Only dating Asian women.,CAH Base Set,CAH Main Deck
Oompa-Loompas.,CAH Base Set,CAH Main Deck
Opposable thumbs.,CAH Base Set,CAH Main Deck
Oprah.,CAH Base Set,CAH Main Deck
Our first chimpanzee President.,CAH Base Set,CAH Main Deck
Our first chimpanzee Prime Minister.,CAH Base Set,CAH Main Deck
Overcompensation.,CAH Base Set,CAH Main Deck
Overpowering your father.,CAH Base Set,CAH Main Deck
Oversized lollipops.,CAH Base Set,CAH Main Deck
Owning and operating a Chili's franchise.,CAH Base Set,CAH Main Deck
Pabst Blue Ribbon.,CAH Base Set,CAH Main Deck
Pac-Man uncontrollably guzzling cum.,CAH Base Set,CAH Main Deck
Paedophiles.,CAH Base Set,CAH Main Deck
Panda sex.,CAH Base Set,CAH Main Deck
Paris Hilton.,CAH Base Set,CAH Main Deck
Parting the Red Sea.,CAH Base Set,CAH Main Deck
Party poopers.,CAH Base Set,CAH Main Deck
Passable transvestites.,CAH Base Set,CAH Main Deck
Passing a kidney stone.,CAH Base Set,CAH Main Deck
Passive-aggression.,CAH Base Set,CAH Main Deck
Passive-aggressive Post-it notes.,CAH Base Set,CAH Main Deck
Pauline Hanson.,CAH Base Set,CAH Main Deck
PCP.,CAH Base Set,CAH Main Deck
Peanut Butter Jelly Time.,CAH Base Set,CAH Main Deck
Pedophiles.,CAH Base Set,CAH Main Deck
Peeing a little bit.,CAH Base Set,CAH Main Deck
Penis breath.,CAH Base Set,CAH Main Deck
Penis envy.,CAH Base Set,CAH Main Deck
People who smell their own socks.,CAH Base Set,CAH Main Deck
Perfunctory foreplay.,CAH Base Set,CAH Main Deck
Permanent Orgasm-Face Disorder.,CAH Base Set,CAH Main Deck
Picking up girls at the abortion clinic.,CAH Base Set,CAH Main Deck
Pictures of boobs.,CAH Base Set,CAH Main Deck
Pikies.,CAH Base Set,CAH Main Deck
Pingers.,CAH Base Set,CAH Main Deck
Pixelated bukkake.,CAH Base Set,CAH Main Deck
Playing silly buggers.,CAH Base Set,CAH Main Deck
Police brutality.,CAH Base Set,CAH Main Deck
Polish People.,CAH Base Set,CAH Main Deck
Pooping back and forth. Forever.,CAH Base Set,CAH Main Deck
Pooping in a laptop and closing it.,CAH Base Set,CAH Main Deck
Pooping in the soup.,CAH Base Set,CAH Main Deck
Poopy diapers.,CAH Base Set,CAH Main Deck
Poor life choices.,CAH Base Set,CAH Main Deck
Poor people.,CAH Base Set,CAH Main Deck
Poorly-timed Holocaust jokes.,CAH Base Set,CAH Main Deck
Popped collars.,CAH Base Set,CAH Main Deck
Porn stars.,CAH Base Set,CAH Main Deck
Poutine.,CAH Base Set,CAH Main Deck
Poverty.,CAH Base Set,CAH Main Deck
Power.,CAH Base Set,CAH Main Deck
Powerful thighs.,CAH Base Set,CAH Main Deck
Prancing.,CAH Base Set,CAH Main Deck
Praying the gay away.,CAH Base Set,CAH Main Deck
Prescription pain killers.,CAH Base Set,CAH Main Deck
Preteens.,CAH Base Set,CAH Main Deck
Pretending to care.,CAH Base Set,CAH Main Deck
Profound respect and appreciation for indigenous culture.,CAH Base Set,CAH Main Deck
Pronouncing the names of northern Welsh towns.,CAH Base Set,CAH Main Deck
Prosti-tots.,CAH Base Set,CAH Main Deck
Pterodactyl eggs.,CAH Base Set,CAH Main Deck
PTSD.,CAH Base Set,CAH Main Deck
Puberty.,CAH Base Set,CAH Main Deck
Public ridicule.,CAH Base Set,CAH Main Deck
Pulling out.,CAH Base Set,CAH Main Deck
Pumping out a baby every nine months.,CAH Base Set,CAH Main Deck
Punching a congressman in the face.,CAH Base Set,CAH Main Deck
Punching an MP in the face.,CAH Base Set,CAH Main Deck
Puppies!,CAH Base Set,CAH Main Deck
Pussy Galore.,CAH Base Set,CAH Main Deck
Putting things where they go.,CAH Base Set,CAH Main Deck
Queefing.,CAH Base Set,CAH Main Deck
Queen Elizabeth's immaculate anus.,CAH Base Set,CAH Main Deck
Queuing.,CAH Base Set,CAH Main Deck
Racially-biased SAT questions.,CAH Base Set,CAH Main Deck
Racism.,CAH Base Set,CAH Main Deck
Radical Islamic terrorism.,CAH Base Set,CAH Main Deck
Rap music.,CAH Base Set,CAH Main Deck
Raping and pillaging.,CAH Base Set,CAH Main Deck
Raptor attacks.,CAH Base Set,CAH Main Deck
Re-gifting.,CAH Base Set,CAH Main Deck
Rectangles.,CAH Base Set,CAH Main Deck
Rehab.,CAH Base Set,CAH Main Deck
Repression.,CAH Base Set,CAH Main Deck
Republicans.,CAH Base Set,CAH Main Deck
Reverse cowgirl.,CAH Base Set,CAH Main Deck
Rich people.,CAH Base Set,CAH Main Deck
Riding off into the sunset.,CAH Base Set,CAH Main Deck
Ring Pops.,CAH Base Set,CAH Main Deck
Ring Pops™.,CAH Base Set,CAH Main Deck
Rip Torn dropkicking anti-Semitic lesbians.,CAH Base Set,CAH Main Deck
Ripping off the Beatles.,CAH Base Set,CAH Main Deck
Ripping open a man’s chest and pulling out his still-beating heart.,CAH Base Set,CAH Main Deck
Rising from the grave.,CAH Base Set,CAH Main Deck
Road head.,CAH Base Set,CAH Main Deck
Rob Ford.,CAH Base Set,CAH Main Deck
Robbing a sperm bank.,CAH Base Set,CAH Main Deck
Robert Downey Jr.,CAH Base Set,CAH Main Deck
"Robert Downey, Jr.",CAH Base Set,CAH Main Deck
RoboCop.,CAH Base Set,CAH Main Deck
Rohypnol.,CAH Base Set,CAH Main Deck
Ronald Reagan.,CAH Base Set,CAH Main Deck
Roofies.,CAH Base Set,CAH Main Deck
Rubbing Boris Johnson's belly until he falls asleep.,CAH Base Set,CAH Main Deck
"Running naked through a mall, pissing and shitting everywhere.",CAH Base Set,CAH Main Deck
Running out of semen.,CAH Base Set,CAH Main Deck
Rupert Murdoch.,CAH Base Set,CAH Main Deck
"Rush Limbaugh's soft, shitty body.",CAH Base Set,CAH Main Deck
Ruth Bader Ginsburg brutally gaveling your penis.,CAH Base Set,CAH Main Deck
Ryan Gosling riding in on a white horse.,CAH Base Set,CAH Main Deck
Same-sex ice dancing.,CAH Base Set,CAH Main Deck
Samuel L. Jackson.,CAH Base Set,CAH Main Deck
Santa Claus.,CAH Base Set,CAH Main Deck
Sarah Palin.,CAH Base Set,CAH Main Deck
Saxophone solos.,CAH Base Set,CAH Main Deck
"Saying ""I love you.""",CAH Base Set,CAH Main Deck
Scalping the Milkybar Kid.,CAH Base Set,CAH Main Deck
Scalping.,CAH Base Set,CAH Main Deck
Schmirler the Curler.,CAH Base Set,CAH Main Deck
Science.,CAH Base Set,CAH Main Deck
Scientology.,CAH Base Set,CAH Main Deck
Scousers.,CAH Base Set,CAH Main Deck
Screaming like a maniac.,CAH Base Set,CAH Main Deck
Scrotum tickling.,CAH Base Set,CAH Main Deck
Scrubbing under the folds.,CAH Base Set,CAH Main Deck
Sean Connery.,CAH Base Set,CAH Main Deck
Sean Penn.,CAH Base Set,CAH Main Deck
Seduction.,CAH Base Set,CAH Main Deck
Seeing Grandma naked.,CAH Base Set,CAH Main Deck
Seeing Granny naked.,CAH Base Set,CAH Main Deck
Seeing my father cry.,CAH Base Set,CAH Main Deck
Seeing what happens when you lock people in a room with hungry seagulls.,CAH Base Set,CAH Main Deck
Seething with quiet resentment.,CAH Base Set,CAH Main Deck
Self-flagellation.,CAH Base Set,CAH Main Deck
Self-loathing.,CAH Base Set,CAH Main Deck
Selling crack to children.,CAH Base Set,CAH Main Deck
Selling ice to children.,CAH Base Set,CAH Main Deck
Seppuku.,CAH Base Set,CAH Main Deck
Serfdom.,CAH Base Set,CAH Main Deck
Seven dead and three in critical condition.,CAH Base Set,CAH Main Deck
Sex with animals.,CAH Base Set,CAH Main Deck
Sex with Patrick Stewart.,CAH Base Set,CAH Main Deck
Sexting.,CAH Base Set,CAH Main Deck
Sexual humiliation.,CAH Base Set,CAH Main Deck
Sexual peeing.,CAH Base Set,CAH Main Deck
Sexual tension.,CAH Base Set,CAH Main Deck
Sexy pillow fights.,CAH Base Set,CAH Main Deck
Shaking a baby until it stops crying.,CAH Base Set,CAH Main Deck
Shapeshifters.,CAH Base Set,CAH Main Deck
Shaquille O'Neal's acting career.,CAH Base Set,CAH Main Deck
Sharing needles.,CAH Base Set,CAH Main Deck
Shiny objects.,CAH Base Set,CAH Main Deck
Shipping convicts to Australia.,CAH Base Set,CAH Main Deck
Shitting out a perfect Cumberland sausage.,CAH Base Set,CAH Main Deck
Shitting out a screaming face.,CAH Base Set,CAH Main Deck
Shorties and blunts.,CAH Base Set,CAH Main Deck
Showing up to an orgy for the food.,CAH Base Set,CAH Main Deck
Shutting the fuck up.,CAH Base Set,CAH Main Deck
Shutting up so I can watch the game.,CAH Base Set,CAH Main Deck
Shutting up so I can watch the match.,CAH Base Set,CAH Main Deck
Sideboob.,CAH Base Set,CAH Main Deck
Silence.,CAH Base Set,CAH Main Deck
Sipping artificial popcorn butter.,CAH Base Set,CAH Main Deck
Sitting on my face and telling me I'm garbage.,CAH Base Set,CAH Main Deck
Sitting on my face.,CAH Base Set,CAH Main Deck
Sitting on my face.,CAH Base Set,CAH Main Deck
Skeletor.,CAH Base Set,CAH Main Deck
Skippy the Bush Kangaroo.,CAH Base Set,CAH Main Deck
Slapping a biscuit out of an orphan's mouth.,CAH Base Set,CAH Main Deck
Slapping a racist old lady.,CAH Base Set,CAH Main Deck
Slapping Nigel Farage over and over.,CAH Base Set,CAH Main Deck
Slaughtering innocent civilians.,CAH Base Set,CAH Main Deck
Slavs.,CAH Base Set,CAH Main Deck
Smallpox blankets.,CAH Base Set,CAH Main Deck
Smegma.,CAH Base Set,CAH Main Deck
"Sneezing, farting, and cumming at the same time.",CAH Base Set,CAH Main Deck
Sniffing and kissing my feet.,CAH Base Set,CAH Main Deck
Sniffing glue.,CAH Base Set,CAH Main Deck
Snotsicles.,CAH Base Set,CAH Main Deck
Sobbing into a Hungry-Man™ Frozen Dinner.,CAH Base Set,CAH Main Deck
"Soft, kissy missionary sex.",CAH Base Set,CAH Main Deck
Soiling oneself.,CAH Base Set,CAH Main Deck
Solving problems with violence.,CAH Base Set,CAH Main Deck
Somali pirates.,CAH Base Set,CAH Main Deck
Some bloody peace and quiet.,CAH Base Set,CAH Main Deck
Some douche with an acoustic guitar.,CAH Base Set,CAH Main Deck
"Some foundation, mascara, and a touch of blush.",CAH Base Set,CAH Main Deck
Some god damn peace and quiet.,CAH Base Set,CAH Main Deck
Some guy.,CAH Base Set,CAH Main Deck
Some kind of bird man.,CAH Base Set,CAH Main Deck
Some of the best rappers in the game.,CAH Base Set,CAH Main Deck
Some punk kid who stole my turkey sandwich.,CAH Base Set,CAH Main Deck
Some really fucked-up shit.,CAH Base Set,CAH Main Deck
"Sorry, this content cannot be viewed in your region.",CAH Base Set,CAH Main Deck
Soup that is too hot.,CAH Base Set,CAH Main Deck
Spaghetti? Again?,CAH Base Set,CAH Main Deck
Spaniards.,CAH Base Set,CAH Main Deck
Spectacular abs.,CAH Base Set,CAH Main Deck
Spending lots of money.,CAH Base Set,CAH Main Deck
Sperm whales.,CAH Base Set,CAH Main Deck
Spirit Airlines.,CAH Base Set,CAH Main Deck
Spontaneous human combustion.,CAH Base Set,CAH Main Deck
Stalin.,CAH Base Set,CAH Main Deck
"Staring at a painting and going ""hmmmmmmm...""",CAH Base Set,CAH Main Deck
Stephen Harper.,CAH Base Set,CAH Main Deck
Stephen Harper.,CAH Base Set,CAH Main Deck
Stephen Hawking talking dirty.,CAH Base Set,CAH Main Deck
Steve Bannon.,CAH Base Set,CAH Main Deck
Steve Irwin.,CAH Base Set,CAH Main Deck
Stifling a giggle at the mention of Hutus and Tutsis.,CAH Base Set,CAH Main Deck
Still being a virgin.,CAH Base Set,CAH Main Deck
Stockholm Syndrome.,CAH Base Set,CAH Main Deck
Stormtroopers.,CAH Base Set,CAH Main Deck
Stranger danger.,CAH Base Set,CAH Main Deck
Strong female characters.,CAH Base Set,CAH Main Deck
Stunt doubles.,CAH Base Set,CAH Main Deck
Substitute teachers.,CAH Base Set,CAH Main Deck
Sucking some dicks to not get drafted.,CAH Base Set,CAH Main Deck
Sudden Poop Explosion Disease.,CAH Base Set,CAH Main Deck
Suicidal thoughts.,CAH Base Set,CAH Main Deck
Summoning Harold Holt from the sea in a time of great need.,CAH Base Set,CAH Main Deck
Sunshine and rainbows.,CAH Base Set,CAH Main Deck
Surprise sex!,CAH Base Set,CAH Main Deck
Swag.,CAH Base Set,CAH Main Deck
"Sweet, sweet vengeance.",CAH Base Set,CAH Main Deck
Switching to Geico®.,CAH Base Set,CAH Main Deck
Swooping.,CAH Base Set,CAH Main Deck
Synergistic management solutions.,CAH Base Set,CAH Main Deck
Syrupy sex with a maple tree.,CAH Base Set,CAH Main Deck
Take-backsies.,CAH Base Set,CAH Main Deck
Taking a man's eyes and balls out and putting his eyes where his balls go and then his balls in the eye holes.,CAH Base Set,CAH Main Deck
Taking a sheep-wife.,CAH Base Set,CAH Main Deck
Taking off your shirt.,CAH Base Set,CAH Main Deck
Tangled Slinkys.,CAH Base Set,CAH Main Deck
Tap dancing like there's no tomorrow.,CAH Base Set,CAH Main Deck
Tasteful sideboob.,CAH Base Set,CAH Main Deck
Teaching a robot to love.,CAH Base Set,CAH Main Deck
Team building exercises.,CAH Base Set,CAH Main Deck
Team-building exercises.,CAH Base Set,CAH Main Deck
Tearing that ass up like wrapping paper on Christmas morning.,CAH Base Set,CAH Main Deck
Teenage pregnancy.,CAH Base Set,CAH Main Deck
Telling a shitty story that goes nowhere.,CAH Base Set,CAH Main Deck
Tentacle porn.,CAH Base Set,CAH Main Deck
Terrorists.,CAH Base Set,CAH Main Deck
Terry Fox's prosthetic leg.,CAH Base Set,CAH Main Deck
Testicular torsion.,CAH Base Set,CAH Main Deck
That ass.,CAH Base Set,CAH Main Deck
That one gay Teletubby.,CAH Base Set,CAH Main Deck
That thing that electrocutes your abs.,CAH Base Set,CAH Main Deck
The American Dream.,CAH Base Set,CAH Main Deck
The Amish.,CAH Base Set,CAH Main Deck
The arrival of the pizza.,CAH Base Set,CAH Main Deck
The art of seduction.,CAH Base Set,CAH Main Deck
The baby that ruined my pussy.,CAH Base Set,CAH Main Deck
The Bachelorette season finale.,CAH Base Set,CAH Main Deck
The Big Bang.,CAH Base Set,CAH Main Deck
The big fucking hole in the ozone layer.,CAH Base Set,CAH Main Deck
The Black Death.,CAH Base Set,CAH Main Deck
The Blood of Christ.,CAH Base Set,CAH Main Deck
The bloody Welsh.,CAH Base Set,CAH Main Deck
The BNP.,CAH Base Set,CAH Main Deck
The bombing of Nagasaki.,CAH Base Set,CAH Main Deck
The boners of the elderly.,CAH Base Set,CAH Main Deck
The Boy Scouts of America.,CAH Base Set,CAH Main Deck
The bush.,CAH Base Set,CAH Main Deck
The Care Bear Stare.,CAH Base Set,CAH Main Deck
The Chinese gymnastics team.,CAH Base Set,CAH Main Deck
The chronic.,CAH Base Set,CAH Main Deck
The clitoris.,CAH Base Set,CAH Main Deck
"The cool, refreshing taste of Coca-Cola®.",CAH Base Set,CAH Main Deck
"The cool, refreshing taste of Pepsi.",CAH Base Set,CAH Main Deck
"The cool, refreshing taste of Pepsi®.",CAH Base Set,CAH Main Deck
"The crazy, ball-slapping sex your parents are having right now.",CAH Base Set,CAH Main Deck
The Daily Mail.,CAH Base Set,CAH Main Deck
The Dalai Lama.,CAH Base Set,CAH Main Deck
The Dance of the Sugar Plum Fairy.,CAH Base Set,CAH Main Deck
The deformed.,CAH Base Set,CAH Main Deck
The Devil Himself.,CAH Base Set,CAH Main Deck
The Donald Trump Seal of Approval.™,CAH Base Set,CAH Main Deck
The drama club.,CAH Base Set,CAH Main Deck
The economy.,CAH Base Set,CAH Main Deck
The EDL.,CAH Base Set,CAH Main Deck
The end of days.,CAH Base Set,CAH Main Deck
The entire cast of Downton Abbey.,CAH Base Set,CAH Main Deck
The entire Internet.,CAH Base Set,CAH Main Deck
The entire Mormon Tabernacle Choir.,CAH Base Set,CAH Main Deck
The female orgasm.,CAH Base Set,CAH Main Deck
The FLQ.,CAH Base Set,CAH Main Deck
The flute.,CAH Base Set,CAH Main Deck
The folly of man.,CAH Base Set,CAH Main Deck
The forbidden fruit.,CAH Base Set,CAH Main Deck
The Force.,CAH Base Set,CAH Main Deck
The French.,CAH Base Set,CAH Main Deck
The gays.,CAH Base Set,CAH Main Deck
The glass ceiling.,CAH Base Set,CAH Main Deck
The Great Depression.,CAH Base Set,CAH Main Deck
The Great Emu War.,CAH Base Set,CAH Main Deck
The Gulags.,CAH Base Set,CAH Main Deck
The guys from Queer Eye.,CAH Base Set,CAH Main Deck
The Hamburglar.,CAH Base Set,CAH Main Deck
The hardworking Mexican.,CAH Base Set,CAH Main Deck
The heart of a child.,CAH Base Set,CAH Main Deck
The Hemsworth brothers.,CAH Base Set,CAH Main Deck
The hiccups.,CAH Base Set,CAH Main Deck
The Hillsborough Disaster.,CAH Base Set,CAH Main Deck
The Holy Bible.,CAH Base Set,CAH Main Deck
The homosexual agenda.,CAH Base Set,CAH Main Deck
The homosexual lifestyle.,CAH Base Set,CAH Main Deck
The Honey Monster.,CAH Base Set,CAH Main Deck
The human body.,CAH Base Set,CAH Main Deck
The Hustle.,CAH Base Set,CAH Main Deck
The illusion of choice in a late-stage capitalist society.,CAH Base Set,CAH Main Deck
The inevitable heat death of the universe.,CAH Base Set,CAH Main Deck
The invisible hand.,CAH Base Set,CAH Main Deck
The Jews.,CAH Base Set,CAH Main Deck
The KKK.,CAH Base Set,CAH Main Deck
The Kool-Aid Man.,CAH Base Set,CAH Main Deck
The land of chocolate.,CAH Base Set,CAH Main Deck
The light of a billion suns.,CAH Base Set,CAH Main Deck
The Little Engine That Could.,CAH Base Set,CAH Main Deck
The magic of live theatre.,CAH Base Set,CAH Main Deck
The Make-A-Wish Foundation.,CAH Base Set,CAH Main Deck
The Make-A-Wish® Foundation.,CAH Base Set,CAH Main Deck
The milk man.,CAH Base Set,CAH Main Deck
The milkman.,CAH Base Set,CAH Main Deck
The miracle of childbirth.,CAH Base Set,CAH Main Deck
The morbidly obese.,CAH Base Set,CAH Main Deck
The North.,CAH Base Set,CAH Main Deck
The Official Languages Act. La Loi sur les langues officielles.,CAH Base Set,CAH Main Deck
The only gay person in a hundred kilometers.,CAH Base Set,CAH Main Deck
The only gay person in a hundred miles.,CAH Base Set,CAH Main Deck
