prompt,special,set,sheet
"Step 1: ______.
Step 2: ______.
Step 3: Profit.",PICK 2,CAH Base Set,CAH Main Deck
Studies show that lab rats navigate mazes 50% faster after being exposed to ______.,,CAH Base Set,CAH Main Deck
TFL apologizes for the delay in train service due to ______.,,CAH Base Set,CAH Main Deck
"That's right, I killed ______. How, you ask? ______.",PICK 2,CAH Base Set,CAH Main Deck
The blind date was going horribly until we discovered our shared interest in ______.,,CAH Base Set,CAH Main Deck
The class field trip was completely ruined by ______.,,CAH Base Set,CAH Main Deck
"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",,CAH Base Set,CAH Main Deck
The healing process began when I joined a support group for victims of ______.,,CAH Base Set,CAH Main Deck
The Natural History Museum has just opened an interactive exhibit on ________.,,CAH Base Set,CAH Main Deck
The new Chevy Tahoe. With the power and space to take ______ everywhere you go.,,CAH Base Set,CAH Main Deck
The school excursion was completely ruined by ______.,,CAH Base Set,CAH Main Deck
The school field trip was completely ruined by ______.,,CAH Base Set,CAH Main Deck
The school trip was completely ruined by ______.,,CAH Base Set,CAH Main Deck
"The secret to a lasting marriage is communication, communication, and ______.",,CAH Base Set,CAH Main Deck
The Smithsonian Museum of Natural History has just opened an interactive exhibit on ______.,,CAH Base Set,CAH Main Deck
The TFL apologizes for the delay in train service due to ________. ,,CAH Base Set,CAH Main Deck
"The theme for next year's Eurovision Song Contest is ""We are ________.""",,CAH Base Set,CAH Main Deck
The U.S. has begun airdropping ______ to the children of Afghanistan.,,CAH Base Set,CAH Main Deck
They said we were crazy. They said we couldn't put ______ inside of ______. They were wrong.,PICK 2,CAH Base Set,CAH Main Deck
"This is the way the world ends
This is the way the world ends
Not with a bang but with ______.",,CAH Base Set,CAH Main Deck
This is your captain speaking. Fasten your seatbelts and prepare for ______.,,CAH Base Set,CAH Main Deck
"This season at Steppenwolf, Samuel Beckett's classic existential play: Waitng for ______.",,CAH Base Set,CAH Main Deck
"This season at the old Vic, Samuel Beckett's classic existential play: Waitng for ______.",,CAH Base Set,CAH Main Deck
"This season at the Princess of Wales Theatre, Samuel Beckett's classic existential play: Waiting for ______.",,CAH Base Set,CAH Main Deck
"This season at the Sydney Opera House, Samuel Beckett's classic existential play: Waiting for ______.",,CAH Base Set,CAH Main Deck
"Today on Jerry Springer: ""Help! My son is ______!""",,CAH Base Set,CAH Main Deck
"Today on Maury: ""Help! My son is ______!""",,CAH Base Set,CAH Main Deck
"Today on The Jeremy Kyle Show: ""Help! My son is ________!""",,CAH Base Set,CAH Main Deck
Tonight's top story: What you don't know about ________ could kill you.,,CAH Base Set,CAH Main Deck
TSA guidelines now prohibit ______ on airplanes.,,CAH Base Set,CAH Main Deck
Turns out that ______-Man was neither the hero we needed nor wanted.,,CAH Base Set,CAH Main Deck
"Uh, hey guys, I know this was my idea, but I'm having serious doubts about ______.",,CAH Base Set,CAH Main Deck
UKIP: Putting ______ First!,,CAH Base Set,CAH Main Deck
War! What is it good for?,,CAH Base Set,CAH Main Deck
"Well if you'll excuse me, gentlemen, I have a date with ______.",,CAH Base Set,CAH Main Deck
What am I giving up for Lent?,,CAH Base Set,CAH Main Deck
What are my parents hiding from me?,,CAH Base Set,CAH Main Deck
What are school administrators using to curb rampant teenage pregnancy?,,CAH Base Set,CAH Main Deck
What broke up the original Wiggles?,,CAH Base Set,CAH Main Deck
What brought the orgy to a grinding halt?,,CAH Base Set,CAH Main Deck
What did I bring back from Amsterdam?,,CAH Base Set,CAH Main Deck
What did I bring back from Bali?,,CAH Base Set,CAH Main Deck
What did I bring back from Mexico?,,CAH Base Set,CAH Main Deck
What did the US airdrop to the children of Afghanistan?,,CAH Base Set,CAH Main Deck
What did Vin Diesel eat for dinner?,,CAH Base Set,CAH Main Deck
What do old people smell like?,,CAH Base Set,CAH Main Deck
What does Dick Cheney prefer?,,CAH Base Set,CAH Main Deck
What don't you want to find in your Chinese food?,,CAH Base Set,CAH Main Deck
What don't you want to find in your doner kebab?,,CAH Base Set,CAH Main Deck
What don't you want to find in your Kung Pao chicken?,,CAH Base Set,CAH Main Deck
What don't you want to find in your Mongolian beef?,,CAH Base Set,CAH Main Deck
What ended my last relationship?,,CAH Base Set,CAH Main Deck
What gets better with age?,,CAH Base Set,CAH Main Deck
What gives me uncontrollable gas?,,CAH Base Set,CAH Main Deck
What has been making life difficult at the nudist colony?,,CAH Base Set,CAH Main Deck
What helps Barack Obama unwind?,,CAH Base Set,CAH Main Deck
What helps Obama unwind?,,CAH Base Set,CAH Main Deck
What is Batman's guilty pleasure?,,CAH Base Set,CAH Main Deck
What is George W. Bush thinking about right now?,,CAH Base Set,CAH Main Deck
What kept Margaret Thatcher busy in her waning years?,,CAH Base Set,CAH Main Deck
What left this stain on my couch?,,CAH Base Set,CAH Main Deck
What made my first kiss so awkward?,,CAH Base Set,CAH Main Deck
What makes life worth living?,,CAH Base Set,CAH Main Deck
What makes me a true blue Aussie?,,CAH Base Set,CAH Main Deck
What never fails to liven up the party?,,CAH Base Set,CAH Main Deck
What will always get you laid?,,CAH Base Set,CAH Main Deck
What will I bring back in time to convince people that I am a powerful wizard?,,CAH Base Set,CAH Main Deck
"What would grandma find disturbing, yet oddly charming?",,CAH Base Set,CAH Main Deck
What's a girl's best friend?,,CAH Base Set,CAH Main Deck
What's my anti-drug?,,CAH Base Set,CAH Main Deck
What's my secret power?,,CAH Base Set,CAH Main Deck
What's Teach for America using to inspire inner city students to succeed?,,CAH Base Set,CAH Main Deck
What's that smell?,,CAH Base Set,CAH Main Deck
What's that sound?,,CAH Base Set,CAH Main Deck
What's the Canadian government using to inspire rural students to succeed?,,CAH Base Set,CAH Main Deck
What's the crustiest?,,CAH Base Set,CAH Main Deck
What's the most emo?,,CAH Base Set,CAH Main Deck
What's the new fad diet?,,CAH Base Set,CAH Main Deck
What's the next Happy Meal® toy?,,CAH Base Set,CAH Main Deck
What's the next superhero/sidekick duo?,PICK 2,CAH Base Set,CAH Main Deck
What's there a ton of in heaven?,,CAH Base Set,CAH Main Deck
What's there a tonne of in heaven?,,CAH Base Set,CAH Main Deck
"When all else fails, I can always masturbate to ______.",,CAH Base Set,CAH Main Deck
"When I am a billionare, I shall erect a 20-meter statue to commemorate ______.",,CAH Base Set,CAH Main Deck
"When I am a billionare, I shall erect a 20-metre statue to commemorate ______.",,CAH Base Set,CAH Main Deck
"When I am a billionare, I shall erect a 50-foot statue to commemorate ______.",,CAH Base Set,CAH Main Deck
"When I am President of the United States, I will create the Department of ______.",,CAH Base Set,CAH Main Deck
"When I am President, I will create the Department of ______.",,CAH Base Set,CAH Main Deck
"When I am Prime Minister of Canada, I will create the Department of ______.",,CAH Base Set,CAH Main Deck
"When I am Prime Minister of Canada, I will create the Ministry of ______.",,CAH Base Set,CAH Main Deck
"When I am Prime Minister of the United Kingdom, I will create the Ministry of ______.",,CAH Base Set,CAH Main Deck
"When I am Prime Minister, I will create the Department of ______.",,CAH Base Set,CAH Main Deck
"When I am Prime Minister, I will create the Ministry of ______.",,CAH Base Set,CAH Main Deck
"When I pooped, what came out of my butt?",,CAH Base Set,CAH Main Deck
"When I was tripping on acid, ______ turned into ______.",PICK 2,CAH Base Set,CAH Main Deck
"When I'm in prison, I'll have ______ smuggled in.",,CAH Base Set,CAH Main Deck
"When Pharaoh remained unmoved, Moses called down a Plague of ______.",,CAH Base Set,CAH Main Deck
"When you get right down to it, ______ is just ______.",PICK 2,CAH Base Set,CAH Main Deck
"While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ______.",,CAH Base Set,CAH Main Deck
White people like ______.,,CAH Base Set,CAH Main Deck
Who stole the cookies from the cookie jar?,,CAH Base Set,CAH Main Deck
Why am I sticky?,,CAH Base Set,CAH Main Deck
Why can't I sleep at night?,,CAH Base Set,CAH Main Deck
Why do I hurt all over?,,CAH Base Set,CAH Main Deck
"With enough time and pressure, ______ will turn into ______.",PICK 2,CAH Base Set,CAH Main Deck
"Your persistence is admirable, my dear Prince. But you cannot win my heart with ______ alone.",,CAH Base Set,CAH Main Deck
Air Canada guidelines now prohibit ______ on airplanes.,,CAH: Canadian Conversion Kit,CAH Main Deck
"CTV presents ______, the story of ______.",PICK 2,CAH: Canadian Conversion Kit,CAH Main Deck
"In an attempt to reach a wider audience, the Royal Ontario Museum has opened an interactive exhibit on ______.",,CAH: Canadian Conversion Kit,CAH Main Deck
Next on TSN: The World Series of ______.,,CAH: Canadian Conversion Kit,CAH Main Deck
"O Canada, we stand on guard for ______.",,CAH: Canadian Conversion Kit,CAH Main Deck
The Royal Ontario Museum has just opened an interactive exhibit on ______.,,CAH: Canadian Conversion Kit,CAH Main Deck
What's the Canadian government using to inspire rural students to succeed?,,CAH: Canadian Conversion Kit,CAH Main Deck
"When I am Prime Minister of Canada, I will create the Department of ______.",,CAH: Canadian Conversion Kit,CAH Main Deck
________________? Jim’ll fix it!,,CAH: UK Conversion Kit,CAH Main Deck
______________. That’s why mums go to Iceland.,,CAH: UK Conversion Kit,CAH Main Deck
"_____________. Once you pop, the fun don’t stop!",,CAH: UK Conversion Kit,CAH Main Deck
And the BAFTA for ___________ goes to __________.,PICK 2,CAH: UK Conversion Kit,CAH Main Deck
Channel 4 presents “________: the Story of ______.”,PICK 2,CAH: UK Conversion Kit,CAH Main Deck
Channel 5’s new reality show features eight washed-up celebrities living with ____________.,,CAH: UK Conversion Kit,CAH Main Deck
"Coming to the West End this year, _________________: The Musical.",,CAH: UK Conversion Kit,CAH Main Deck
"Dear Agony Aunt, I’m having some trouble with ____________ and would like your advice.",,CAH: UK Conversion Kit,CAH Main Deck
"In her latest feature-length film, Tracy Beaker struggles with ___________ for the first time.",,CAH: UK Conversion Kit,CAH Main Deck
"In Wormwood Scrubs, word is you can trade 200 cigarettes for ___________.",,CAH: UK Conversion Kit,CAH Main Deck
Next on Sky Sports: The World Championship of _______________.,,CAH: UK Conversion Kit,CAH Main Deck
"Nobody expects the Spanish Inquisition! Our chief weapons are fear, surprise, and __________.",,CAH: UK Conversion Kit,CAH Main Deck
TFL apologizes for the delay in train service due to ___________.,,CAH: UK Conversion Kit,CAH Main Deck
The Natural History Museum has just opened an interactive exhibit on ____________.,,CAH: UK Conversion Kit,CAH Main Deck
The theme for next year’s Eurovision Song Contest is “We are _____________.”,,CAH: UK Conversion Kit,CAH Main Deck
Today on The Jeremy Kyle Show: “Help! My son is _________________!”,,CAH: UK Conversion Kit,CAH Main Deck
What are school administrators using to curb rampant teenage pregnancy?,,CAH: UK Conversion Kit,CAH Main Deck
What did I bring back from Amsterdam?,,CAH: UK Conversion Kit,CAH Main Deck
What kept Margaret Thatcher busy in her waning years?,,CAH: UK Conversion Kit,CAH Main Deck
"When I am Prime Minister of the United Kingdom, I will create the Ministry of __________.",,CAH: UK Conversion Kit,CAH Main Deck
All classes today are cancelled due to ______.,,CAH: College Pack,CAH Packs
Did you know? Our college was recently named the #1 school for ______!,,CAH: College Pack,CAH Packs
"In this paper, I will explore ______ from a feminist perspective.",,CAH: College Pack,CAH Packs
My memory of last night is pretty hazy. I remember ______ and that's pretty much it.,,CAH: College Pack,CAH Packs
"Pledges! Time to prove you're Delta Phi material. Chug this beer, take off your shirts, and get ready for ______.",,CAH: College Pack,CAH Packs
The Department of Psychology is looking for paid research volunteers. Are you 18-25 and suffering from ______.,,CAH: College Pack,CAH Packs
"When Jack White performed at the Aragon Ballroom in Chicago on Nov. 19, 2018, he surprised fans with _____.",,Jack White Show Pack,CAH Packs
"Bitch, you look nasty. You look disgusting. You look like you're ______. Go home, butch.",,Reject Pack 3,CAH Packs
"So this family circus act comes in to see a talent agent in Hoboken, and the agent askes what they do. The father of the act jumps up and starts to furiously beat off into a towel while his wife whips her hair back and forth to that famous song - originally sung by one of Will Smith's kids, ""I Whipe My Hair Bcak And Forth"" - which her twin daughters are singing while they braid each other's pubes, all while the twin BROTHERS are creating a real-estate bubble by purchasing houses and flipping them for needless profit, and all THIS is happening while the grandmother is peeing into a Smuckers jar and slapping her ass. The whole thing ends with the family spitting into each other's assholes. The talent agent can't believe it. He looks at the sweaty father who has just spit into his mother's asshole and says. ""WOW. This is great. Whaddya call yourselves?"" And the guy looks at him and says, ""We're ______.""",,Reject Pack 3,CAH Packs
Believe it or not Jim Carrey can do a dead-on impression of ____.,,90s Nostalgia Pack,CAH Packs/Commercial Packs
How did Stella get her groove back?,,90s Nostalgia Pack,CAH Packs/Commercial Packs
"I'm a bitch, I'm a lover, I'm a child, I'm ______.",,90s Nostalgia Pack,CAH Packs/Commercial Packs
It's Morphin' Time! Mastodon! Pterodactyl! Triceratops! Sabertooth Tiger! ______!,,90s Nostalgia Pack,CAH Packs/Commercial Packs
"Siskel and Ebert have panned ______ as ""poorly conceived"" and ""sloppily executed.""",,90s Nostalgia Pack,CAH Packs/Commercial Packs
"Tonight on SNICK: ""Are You Afriad of ______?",,90s Nostalgia Pack,CAH Packs/Commercial Packs
"Up next on Nickelodeon: ""Clarissa Explains ______.""",,90s Nostalgia Pack,CAH Packs/Commercial Packs
"______? That's a no from me, dawg.",,CAH: 2000s Nostalgia Pack,CAH Packs/Commercial Packs
16 people. 39 days of ______. One Survivor.,,CAH: 2000s Nostalgia Pack,CAH Packs/Commercial Packs
"I couldn't help but wonder. Was ""having it all"" an unattainable myth? Was the secret to a truly happy life just ______?",,CAH: 2000s Nostalgia Pack,CAH Packs/Commercial Packs
Oh my god! ______ killed Kenny!,,CAH: 2000s Nostalgia Pack,CAH Packs/Commercial Packs
Oops! I did it again. I played with ______.,,CAH: 2000s Nostalgia Pack,CAH Packs/Commercial Packs
I like ______ and I cannot lie!,,CAH: Ass Pack,CAH Packs/Commercial Packs
"My anaconda don't want none unless you got ________, hun.",,CAH: Ass Pack,CAH Packs/Commercial Packs
"My homeboys tried to warn me, but _______ makes me so horny.",,CAH: Ass Pack,CAH Packs/Commercial Packs
HELP WANTED: Need assistance with ______. No experience necessary.,,CAH: Hidden Gems Bundle: A Few New Cards We Crammed Into This Bundle Pack (Amazon Exclusive),CAH Packs/Commercial Packs
"Oh, whoops! These are not the right pants for ______.",,CAH: Hidden Gems Bundle: A Few New Cards We Crammed Into This Bundle Pack (Amazon Exclusive),CAH Packs/Commercial Packs
You want ______? You can't handle ___[SAME CARD AGAIN]___!,,CAH: Hidden Gems Bundle: A Few New Cards We Crammed Into This Bundle Pack (Amazon Exclusive),CAH Packs/Commercial Packs
"And in the end, the dragon was not evil; he just wanted ______.",,Fantasy Pack,CAH Packs/Commercial Packs
"Critics are raving about HBO's new Game of Thrones spin-off, ""______ of ______.""",PICK 2,Fantasy Pack,CAH Packs/Commercial Packs
"Having tired of poetry and music, the immortal elves now fill their days with ______.",,Fantasy Pack,CAH Packs/Commercial Packs
Legend tells of a princess who has been asleep for a thousand years and can only be awoken by ______.,,Fantasy Pack,CAH Packs/Commercial Packs
"Who blasphemes and bubbles at the center of all infinity, whose name no lips dare speak aloud, and who gnaws hungrily in inconceivable, unlighted chambers beyond time?",,Fantasy Pack,CAH Packs/Commercial Packs
"Your father was a powerful wizard, Harry. Before he died, he left you something very precious: ___.",,Fantasy Pack,CAH Packs/Commercial Packs
"Aw babe, your burbs smell like ______.",,Food Pack,CAH Packs/Commercial Packs
"Don’t miss Rachel Ray’s hit new show, Cooking with ______.",,Food Pack,CAH Packs/Commercial Packs
"Excuse me, waiter. Could you take this back? This soup tastes like ______.",,Food Pack,CAH Packs/Commercial Packs
"I’m Bobby Flay, and if you can’t stand ______. get out of the kitchen!",,Food Pack,CAH Packs/Commercial Packs
It’s not delivery. It’s ______.,,Food Pack,CAH Packs/Commercial Packs
Now on Netflix: Jiro Dreams Of ______.,,Food Pack,CAH Packs/Commercial Packs
______ is way better in ______ mode.,,Geek Pack,CAH Packs/Commercial Packs
______: Achievement unlocked.,,Geek Pack,CAH Packs/Commercial Packs
"(Heavy breathing) Luke, I am ______.",,Geek Pack,CAH Packs/Commercial Packs
Press ↓ ↓ ← → B to unleash ______.,,Geek Pack,CAH Packs/Commercial Packs
What made Spock cry?,,Geek Pack,CAH Packs/Commercial Packs
What's the latest bullshit that's troubling this quaint fantasy town?,,Geek Pack,CAH Packs/Commercial Packs
Can a woman really have it all? A career and ______?,,Period Pack,CAH Packs/Commercial Packs
"My body, my voice! ______, my choice!",,Period Pack,CAH Packs/Commercial Packs
My vagina's angry. My vagina's furious and needs to talk. It needs to talk about ______.,,Period Pack,CAH Packs/Commercial Packs
"New fom Mattel, it's ______ Barbie!",,Period Pack,CAH Packs/Commercial Packs
Tampax: Don’t let your period ruin ______.,,Period Pack,CAH Packs/Commercial Packs
What gets me wet?,,Period Pack,CAH Packs/Commercial Packs
How are the writers of Cards Against Humanity spending your $25?,,Retail Mini Pack,CAH Packs/Commercial Packs
Looking to earn big bucks? Learn how to make ______ work for you!,,Retail Mini Pack,CAH Packs/Commercial Packs
Computer! Display ______ on screen. Enhance.,,Sci-Fi Pack,CAH Packs/Commercial Packs
Fear leads to anger. Anger leads to hate. Hate leads to ______.,,Sci-Fi Pack,CAH Packs/Commercial Packs
"Madam President, the asteroid is headed directly for Earth and there's only one thing that can stop it: ______.",,Sci-Fi Pack,CAH Packs/Commercial Packs
This won't be like negotiating with the Vogons. Humans only respond to one thing: ______.,,Sci-Fi Pack,CAH Packs/Commercial Packs
"What is the answer to life, the universe, and everything?",,Sci-Fi Pack,CAH Packs/Commercial Packs
You have violated the Prime Directive! You exposed an alien culture to ______ before they were ready.,,Sci-Fi Pack,CAH Packs/Commercial Packs
"You're not going to believe this, but I'm you from the future! You've got to stop ______.",,Sci-Fi Pack,CAH Packs/Commercial Packs
A study published in Nature this week found that ______ is good for you in small doses.,,Science Pack,CAH Packs/Commercial Packs
"Hey there, Young Scientists! Put on your labcoats and strap on your safety goggles, because today we're learning about ______!",,Science Pack,CAH Packs/Commercial Packs
"In an attempt to recreate conditions just after the Big Bang, physicists at the LHC are observing collisions between ______ and ______.",PICK 2,Science Pack,CAH Packs/Commercial Packs
"In line with our predictions, we find a robust correlation between ______ and ______ (p<.05).",PICK 2,Science Pack,CAH Packs/Commercial Packs
"In what's being hailed as a major breakthrough, scientists have synthesized ______ in the lab.",,Science Pack,CAH Packs/Commercial Packs
"Today on Mythbusters, we found out how long ______ can withstand ______.",PICK 2,Science Pack,CAH Packs/Commercial Packs
What really killed the dinosaurs?,,Science Pack,CAH Packs/Commercial Packs
Everyone is staring at you because you're ___.,,Weed Pack,CAH Packs/Commercial Packs
"Hold up. I gotta deal with ___, then l'mma smoke this.",,Weed Pack,CAH Packs/Commercial Packs
"Instead of playing a card this round, everyone must stare the Card Czar while making a sound you'd make after tasting something delicious.",,Weed Pack,CAH Packs/Commercial Packs
"Okay here's the pitch. James Franco and Seth Rogen are trying to score some weed, and then ___ happens.",,Weed Pack,CAH Packs/Commercial Packs
"You know what's, like, really funny when you think about it? ___.",,Weed Pack,CAH Packs/Commercial Packs
"Don't worry, Penny! Go Go Gadget ______!",,World Wide Web Pack,CAH Packs/Commercial Packs
I need you like ______ needs ______.,PICK 2,World Wide Web Pack,CAH Packs/Commercial Packs
"I'm just gonna stay in tonight. You know, Netflix and ______.",,World Wide Web Pack,CAH Packs/Commercial Packs
"Nothing says ""I love you"" like ______.",,World Wide Web Pack,CAH Packs/Commercial Packs
Such ______. Very ______. Wow.,PICK 2,World Wide Web Pack,CAH Packs/Commercial Packs
"This app is basically Tinder, but for ______.",,World Wide Web Pack,CAH Packs/Commercial Packs
TRIGGER WARNING: ______.,,World Wide Web Pack,CAH Packs/Commercial Packs
What did I nickname my genitals?,,World Wide Web Pack,CAH Packs/Commercial Packs
"You guys, you can buy ______ on the dark web.",,World Wide Web Pack,CAH Packs/Commercial Packs
"If Mike Pence could dream, he would dream about ______.",,Gen Con 2018 Midterm Election Pack,CAH Packs/Con Exclusives
What will finally make me care?,,Gen Con 2018 Midterm Election Pack,CAH Packs/Con Exclusives
______: good to the last drop.,,"PAX 2010 ""Oops"" Kit",CAH Packs/Con Exclusives
"Daddy, why is Mommy crying?",,"PAX 2010 ""Oops"" Kit",CAH Packs/Con Exclusives
"Dear Abby, I'm having some trouble with ______ and would like your advice.",,"PAX 2010 ""Oops"" Kit",CAH Packs/Con Exclusives
I drink to forget ______.,,"PAX 2010 ""Oops"" Kit",CAH Packs/Con Exclusives
White people like ______.,,"PAX 2010 ""Oops"" Kit",CAH Packs/Con Exclusives
"I have an idea even better than Kickstarter, and it's called ______starter.",,PAX East 2013 Promo Pack A,CAH Packs/Con Exclusives
You have been waylaid by ______ and must defend yourself.,,PAX East 2013 Promo Pack A,CAH Packs/Con Exclusives
Action stations! Action stations! Set condition one throughout the fleet and brace for ______!,,PAX East 2013 Promo Pack B,CAH Packs/Con Exclusives
"In the final round of this year's Omegathon, Omeganauts must face off in a game of ______.",,PAX East 2013 Promo Pack B,CAH Packs/Con Exclusives
"I don't know exactly how I got the PAX plague, but I suspect it had something to do with ______.",,PAX East 2013 Promo Pack C,CAH Packs/Con Exclusives
Press ↓ ↓ ← → B to unleash ______.,,PAX East 2013 Promo Pack C,CAH Packs/Con Exclusives
______ is way better in ______ mode.,PICK 2,PAX East 2014,CAH Packs/Con Exclusives
"(Heavy breathing) Luke, I am ______.",,PAX East 2014,CAH Packs/Con Exclusives
"Unfortunately, Neo, no one can be told what ______ is. You have to see it for yourself.",,PAX East 2014,CAH Packs/Con Exclusives
"What the hell?! They added a 6/6 with flying, trample and ______.",,PAX East 2014,CAH Packs/Con Exclusives
"You think you have defeated me? Well, let's see how you handle ______.",,PAX East 2014,CAH Packs/Con Exclusives
______ was totally worth the trauma.,,PAX East 2014 - Panel Cards,CAH Packs/Con Exclusives
"Let me tell you about my new startup. It's basically ______, but for ______.",PICK 2,PAX East 2014 - Panel Cards,CAH Packs/Con Exclusives
______: Achievement unlocked.,,PAX Prime 2013,CAH Packs/Con Exclusives
"In the new DLC for Mass Effect, Shepard must save the galaxy from ______.",,PAX Prime 2013,CAH Packs/Con Exclusives
No Enforcer wants to manage the panel on ______.,,PAX Prime 2013,CAH Packs/Con Exclusives
The most controversial game at PAX this year is an 8-bit indie platformer about ______.,,PAX Prime 2013,CAH Packs/Con Exclusives
There was a riot at the Gearbox panel when they gave the attendees ______.,,PAX Prime 2013,CAH Packs/Con Exclusives
What made Spock cry?,,PAX Prime 2013,CAH Packs/Con Exclusives
What's the latest bullshit that's troubling this quaint fantasy town?,,PAX Prime 2013,CAH Packs/Con Exclusives
"Bob Ross's little-known first show was called ""The Joy of ______.""",,PAX Prime 2014 - Panel Cards,CAH Packs/Con Exclusives
Buzzfeed presents: 10 pictures of ______ that look like ______.,PICK 2,PAX Prime 2014 - Panel Cards,CAH Packs/Con Exclusives
"During my first game of D&D, I accidentally summoned ______.",,PAX Prime 2014 - Panel Cards,CAH Packs/Con Exclusives
"Like ______, State Farm is there.",,PAX Prime 2014 - Panel Cards,CAH Packs/Con Exclusives
The Discovery Channel presents: ______ week.,,PAX Prime 2014 - Panel Cards,CAH Packs/Con Exclusives
What's the weirdest thing that AdMagic has printed?,,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives
"I’m Bobby Flay, and if you can’t stand ______, get out of the kitchen!",,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
"It’s not delivery.
It’s ______.",,PAX Prime 2015 Food Pack A (Mango),CAH Packs/Con Exclusives
"Aw babe, your burps smell like ______!",,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
"Don't miss Rachel Ray's hit new show, Cooking with ______.",,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives
"Excuse me, waiter. Could take this back? This soup tastes like ______.",,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
Now on Netflix: Jiro Dreams of ______.,,PAX Prime 2015 Food Pack C (Cherry),CAH Packs/Con Exclusives
"After blacking out during New Year's Eve, I was awoken by ______.",,2012 Holiday Pack,CAH Packs/Holiday Packs
"Every Christmas, my uncle gets drunk and tells the story about ______.",,2012 Holiday Pack,CAH Packs/Holiday Packs
Jesus is ______.,,2012 Holiday Pack,CAH Packs/Holiday Packs
"On the third day of Christmas, my true love gave to me: three French hens, two turtle doves, and ______.",,2012 Holiday Pack,CAH Packs/Holiday Packs
"This holiday season, Tim Allen must overcome his fear of ______ to save Christmas.",,2012 Holiday Pack,CAH Packs/Holiday Packs
"Wake up, America. Christmas is under attack by secular liberals and their ______.",,2012 Holiday Pack,CAH Packs/Holiday Packs
"What keeps me warm during the cold, cold winter?",,2012 Holiday Pack,CAH Packs/Holiday Packs
"Because they are forbidden from masturbating, Mormons channel their repressed sexual energy into ______.",,2013 Holiday Pack,CAH Packs/Holiday Packs
"Blessed are you, Lord our God, creator of the universe, who has granted us ______.",,2013 Holiday Pack,CAH Packs/Holiday Packs
"But wait, there’s more! If you order ______ in the next 15 minutes, we’ll throw in ______ absolutely free!",PICK 2,2013 Holiday Pack,CAH Packs/Holiday Packs
"GREETINGS HUMANS
I AM ______ BOT
EXECUTING PROGRAM.",,2013 Holiday Pack,CAH Packs/Holiday Packs
"Here’s what you can expect for the new year.
Out: ______.
In: ______.",PICK 2,2013 Holiday Pack,CAH Packs/Holiday Packs
I really hope my grandma doesn’t ask me to explain ______ again.,,2013 Holiday Pack,CAH Packs/Holiday Packs
"Kids these days with their iPods and their Internet. In my day, all we needed to pass the time was ______.",,2013 Holiday Pack,CAH Packs/Holiday Packs
Revealed: Why He Really Resigned! Pope Benedict’s Secret Struggle with ______.,,2013 Holiday Pack,CAH Packs/Holiday Packs
What’s the one thing that makes an elf instantly ejaculate?,,2013 Holiday Pack,CAH Packs/Holiday Packs
"A curse upon thee! Many years from now, just when you think you're safe, ______ shall turn into ______.",,2014 Holiday Pack,CAH Packs/Holiday Packs
"Behold the Four Horsemen of the Apocalypse! War, Famine, Death, and ______.",,2014 Holiday Pack,CAH Packs/Holiday Packs
"Dear Mom and Dad, Camp is fun. I like capture the flag. Yesterday, one of the older kids taught me about ______. I love you, Casey",,2014 Holiday Pack,CAH Packs/Holiday Packs
"Here lies First Last, Year-2015, devoted friend, lover of ______.",PICK 2,2014 Holiday Pack,CAH Packs/Holiday Packs
"Honey, Mommy and Daddy love you very much. But apparently Mommy loves ______ more than she loves Daddy.",,2014 Holiday Pack,CAH Packs/Holiday Packs
Today on Buzzfeed: 10 pictures of ______ That look like ______!,PICK 2,2014 Holiday Pack,CAH Packs/Holiday Packs
Why am I so tired?,,2014 Holiday Pack,CAH Packs/Holiday Packs
"According to Freud, all children progress through three stages of development: the oral stage, the anal stage, and the ______ stage.",,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
"Can't you see? The Jews are behind everything-the banks, the media, even ______!",,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
"Coming to Broadway next season: ""______ on the Roof.""",,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
"Oh, your daughter should meet my son! He gives to charity, he loves ______ and did I mention he's a doctor?",,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
What's so important right now that you can't call your mother?,,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs
"Blessed are you, Lord our God, creator of the universe, who has granted us _____.",,Seasons Greetings Pack,CAH Packs/Holiday Packs
"Donna, pick up my dry cleaning and get my wife something for Christmas. I think she likes _____.",,Seasons Greetings Pack,CAH Packs/Holiday Packs
"Here's what you can expect for the new year.
Out: __.
In: __.",PICK 2,Seasons Greetings Pack,CAH Packs/Holiday Packs
It's beginning to look a lot like _____.,,Seasons Greetings Pack,CAH Packs/Holiday Packs
Jesus is _____.,,Seasons Greetings Pack,CAH Packs/Holiday Packs
"This holiday season, Tim Allen must overcome his fear of _____ to save Christmas.",,Seasons Greetings Pack,CAH Packs/Holiday Packs
